Datum/Uhrzeit;Temperatur
06.03.2018 16:58:30;17.6
06.03.2018 16:59:30;17.7
06.03.2018 17:00:00;17.6
06.03.2018 17:00:30;17.7
06.03.2018 17:05:00;17.8
06.03.2018 17:05:30;17.7
06.03.2018 17:06:00;17.8
06.03.2018 17:06:30;17.9
06.03.2018 17:07:00;17.7
06.03.2018 17:08:00;17.6
06.03.2018 17:08:30;17.8
06.03.2018 17:09:00;17.7
06.03.2018 17:11:30;17.3
06.03.2018 17:12:30;17.4
06.03.2018 17:14:00;17.3
06.03.2018 17:14:30;17.4
06.03.2018 17:15:30;17.3
06.03.2018 17:17:30;17.4
06.03.2018 17:18:00;17.5
06.03.2018 17:18:30;17.4
06.03.2018 17:19:00;17.5
06.03.2018 17:20:30;17.6
06.03.2018 17:21:00;17.5
06.03.2018 17:23:00;17.4
06.03.2018 17:23:30;17.5
06.03.2018 17:25:00;17.4
06.03.2018 17:27:00;17.3
06.03.2018 17:27:30;17.4
06.03.2018 17:28:00;17.3
06.03.2018 17:28:30;17.4
06.03.2018 17:29:30;17.3
06.03.2018 17:30:00;17.4
06.03.2018 17:30:30;17.3
06.03.2018 17:31:00;17.4
06.03.2018 17:32:00;17.3
06.03.2018 17:32:30;17.4
06.03.2018 17:34:00;17.5
06.03.2018 17:34:30;17.3
06.03.2018 17:35:00;17.5
06.03.2018 17:35:30;17.4
06.03.2018 17:36:00;17.3
06.03.2018 17:37:00;17.4
06.03.2018 17:37:30;17.3
06.03.2018 17:38:30;17.4
06.03.2018 17:39:00;17.3
06.03.2018 17:40:00;17.4
06.03.2018 17:41:00;17.3
06.03.2018 17:41:30;17.5
06.03.2018 17:42:30;17.6
06.03.2018 17:43:30;17.5
06.03.2018 17:45:00;17.6
06.03.2018 17:45:30;17.5
06.03.2018 17:46:00;17.6
06.03.2018 17:46:30;17.5
06.03.2018 17:47:00;17.6
06.03.2018 17:47:30;17.5
06.03.2018 17:50:00;17.6
06.03.2018 17:50:30;17.5
06.03.2018 17:54:30;17.6
06.03.2018 17:55:00;17.5
06.03.2018 17:56:00;17.6
06.03.2018 17:57:00;17.5
06.03.2018 17:59:00;17.7
06.03.2018 17:59:30;17.6
06.03.2018 18:00:30;17.5
06.03.2018 18:01:00;17.6
06.03.2018 18:02:00;17.7
06.03.2018 18:04:30;17.6
06.03.2018 18:05:00;17.7
06.03.2018 18:05:30;17.6
06.03.2018 18:06:00;17.7
06.03.2018 18:06:30;17.6
06.03.2018 18:07:30;17.7
06.03.2018 18:11:00;17.8
06.03.2018 18:17:00;17.7
06.03.2018 18:17:30;17.5
06.03.2018 18:18:00;17.4
06.03.2018 18:18:30;17.3
06.03.2018 18:19:00;17.4
06.03.2018 18:22:00;17.3
06.03.2018 18:22:30;17.4
06.03.2018 18:26:30;17.5
06.03.2018 18:27:30;17.4
06.03.2018 18:28:00;17.5
06.03.2018 18:28:30;17.4
06.03.2018 18:29:00;17.5
06.03.2018 18:29:30;17.4
06.03.2018 18:30:00;17.5
06.03.2018 18:30:30;17.4
06.03.2018 18:33:30;17.3
06.03.2018 18:34:00;17.4
06.03.2018 18:38:00;17.3
06.03.2018 18:39:00;17.4
06.03.2018 18:39:30;17.3
06.03.2018 18:40:00;17.4
06.03.2018 18:40:30;17.3
06.03.2018 18:46:30;17.4
06.03.2018 18:47:00;17.3
06.03.2018 18:49:30;17.7
06.03.2018 18:50:30;17.8
06.03.2018 19:01:00;17.7
06.03.2018 19:04:00;17.5
06.03.2018 19:04:30;17.4
06.03.2018 19:08:00;17.5
06.03.2018 19:08:30;17.4
06.03.2018 19:10:30;17.5
06.03.2018 19:12:00;17.4
06.03.2018 19:13:00;17.5
06.03.2018 19:17:00;17.6
06.03.2018 19:17:30;17.5
06.03.2018 19:19:30;17.4
06.03.2018 19:20:00;17.5
06.03.2018 19:22:00;17.4
06.03.2018 19:22:30;17.5
06.03.2018 19:23:30;17.4
06.03.2018 19:24:00;17.5
06.03.2018 19:25:00;17.4
06.03.2018 19:26:00;17.5
06.03.2018 19:27:30;17.4
06.03.2018 19:28:00;17.5
06.03.2018 19:29:00;17.4
06.03.2018 19:29:30;17.5
06.03.2018 19:35:00;17.4
06.03.2018 19:36:00;17.5
06.03.2018 19:45:00;17.4
06.03.2018 19:45:30;17.5
06.03.2018 19:47:00;17.6
06.03.2018 19:47:30;17.5
06.03.2018 19:53:30;17.6
06.03.2018 19:54:00;17.5
06.03.2018 19:56:30;17.6
06.03.2018 19:57:00;17.5
06.03.2018 20:09:30;17.4
06.03.2018 20:10:00;17.5
06.03.2018 20:12:00;17.6
06.03.2018 20:12:30;17.5
06.03.2018 20:23:00;17.6
06.03.2018 20:23:30;17.5
06.03.2018 20:28:00;17.6
06.03.2018 20:28:30;17.5
06.03.2018 20:32:00;17.6
06.03.2018 20:32:30;17.5
06.03.2018 20:33:00;17.6
06.03.2018 20:33:30;17.5
06.03.2018 20:34:30;17.6
06.03.2018 20:36:00;17.5
06.03.2018 20:38:00;17.6
06.03.2018 20:38:30;17.5
06.03.2018 20:39:00;17.6
06.03.2018 20:39:30;17.5
06.03.2018 20:40:30;17.6
06.03.2018 20:41:30;17.5
06.03.2018 20:43:00;17.6
06.03.2018 20:43:30;17.7
06.03.2018 20:44:00;17.6
06.03.2018 20:44:30;17.5
06.03.2018 20:45:00;17.6
06.03.2018 20:48:00;17.5
06.03.2018 20:49:00;17.6
06.03.2018 20:50:00;17.5
06.03.2018 20:50:30;17.6
06.03.2018 20:52:00;17.5
06.03.2018 20:52:30;17.6
06.03.2018 20:53:30;17.7
06.03.2018 20:54:00;17.6
06.03.2018 20:55:30;17.5
06.03.2018 20:56:00;17.4
06.03.2018 20:59:00;17.3
06.03.2018 21:00:00;17.4
06.03.2018 21:01:00;17.3
06.03.2018 21:01:30;17.4
06.03.2018 21:05:30;17.5
06.03.2018 21:06:00;17.4
06.03.2018 21:07:00;17.5
06.03.2018 21:07:30;17.4
06.03.2018 21:08:30;17.5
06.03.2018 21:09:00;17.4
06.03.2018 21:10:00;17.5
06.03.2018 21:10:30;17.4
06.03.2018 21:15:00;17.5
06.03.2018 21:15:30;17.4
06.03.2018 21:17:00;17.5
06.03.2018 21:17:30;17.4
06.03.2018 21:19:30;17.5
06.03.2018 21:21:00;17.4
06.03.2018 21:21:30;17.5
06.03.2018 21:23:00;17.4
06.03.2018 21:24:00;17.5
06.03.2018 21:24:30;17.4
06.03.2018 21:25:00;17.5
06.03.2018 21:28:00;17.4
06.03.2018 21:31:30;17.5
06.03.2018 21:32:00;17.4
06.03.2018 21:35:00;17.5
06.03.2018 21:35:30;17.4
06.03.2018 21:37:00;17.3
06.03.2018 21:38:00;17.4
06.03.2018 21:39:00;17.3
06.03.2018 21:39:30;17.4
06.03.2018 21:42:00;17.5
06.03.2018 21:42:30;17.4
06.03.2018 21:43:00;17.5
06.03.2018 21:50:30;17.6
06.03.2018 21:51:00;17.4
06.03.2018 21:51:30;17.5
06.03.2018 22:00:00;17.6
06.03.2018 22:00:30;17.5
06.03.2018 22:03:00;17.6
06.03.2018 22:03:30;17.5
06.03.2018 22:04:30;17.6
06.03.2018 22:07:00;17.5
06.03.2018 22:07:30;17.6
06.03.2018 22:08:00;17.5
06.03.2018 22:08:30;17.6
06.03.2018 22:09:00;17.5
06.03.2018 22:10:00;17.6
06.03.2018 22:11:00;17.5
06.03.2018 22:11:30;17.6
06.03.2018 22:12:30;17.5
06.03.2018 22:13:00;17.6
06.03.2018 22:13:30;17.5
06.03.2018 22:14:00;17.6
06.03.2018 22:14:30;17.5
06.03.2018 22:15:00;17.6
06.03.2018 22:17:30;17.7
06.03.2018 22:18:00;17.6
06.03.2018 22:19:30;17.7
06.03.2018 22:20:00;17.6
06.03.2018 22:25:00;17.7
06.03.2018 22:26:00;17.6
06.03.2018 22:27:30;17.7
06.03.2018 22:28:30;17.6
06.03.2018 22:29:30;17.7
06.03.2018 22:30:00;17.6
06.03.2018 22:30:30;17.7
06.03.2018 22:37:00;17.6
06.03.2018 22:38:00;17.7
06.03.2018 22:38:30;17.6
06.03.2018 22:41:30;17.4
06.03.2018 22:42:00;17.3
06.03.2018 22:43:30;17.2
06.03.2018 22:44:30;17.3
06.03.2018 22:49:00;17.2
06.03.2018 22:51:30;17.3
06.03.2018 22:54:30;17.2
06.03.2018 22:55:00;17.3
06.03.2018 22:55:30;17.5
06.03.2018 22:56:30;17.4
06.03.2018 22:57:30;17.5
06.03.2018 22:58:00;17.4
06.03.2018 23:01:30;17.5
06.03.2018 23:02:00;17.4
06.03.2018 23:07:30;17.7
06.03.2018 23:08:00;17.8
06.03.2018 23:10:30;18
06.03.2018 23:11:00;17.8
06.03.2018 23:12:00;17.9
06.03.2018 23:12:30;17.8
06.03.2018 23:15:00;17.9
06.03.2018 23:15:30;17.8
06.03.2018 23:16:00;17.9
06.03.2018 23:16:30;17.8
06.03.2018 23:18:30;17.7
06.03.2018 23:19:30;17.8
06.03.2018 23:20:00;17.7
06.03.2018 23:21:30;17.6
06.03.2018 23:22:00;17.4
06.03.2018 23:22:30;17.3
06.03.2018 23:28:00;17.4
06.03.2018 23:28:30;17.3
06.03.2018 23:29:00;17.4
06.03.2018 23:31:30;17.3
06.03.2018 23:32:00;17.4
06.03.2018 23:33:00;17.3
06.03.2018 23:33:30;17.4
06.03.2018 23:34:30;17.3
06.03.2018 23:35:30;17.4
06.03.2018 23:36:30;17.3
06.03.2018 23:43:30;17.4
06.03.2018 23:44:00;17.6
06.03.2018 23:44:30;17.5
06.03.2018 23:58:00;17.6
06.03.2018 23:58:30;17.5
06.03.2018 23:59:00;17.6
06.03.2018 23:59:30;17.5
07.03.2018 00:00:00;17.6
07.03.2018 00:02:00;17.7
07.03.2018 00:02:30;17.6
07.03.2018 00:05:00;17.7
07.03.2018 00:05:30;17.6
07.03.2018 00:06:00;17.7
07.03.2018 00:07:30;17.6
07.03.2018 00:08:00;17.7
07.03.2018 00:08:30;17.6
07.03.2018 00:09:30;17.7
07.03.2018 00:16:00;17.8
07.03.2018 00:17:00;17.7
07.03.2018 00:17:30;17.6
07.03.2018 00:22:00;17.5
07.03.2018 00:22:30;17.3
07.03.2018 00:23:30;17.2
07.03.2018 00:24:30;17.3
07.03.2018 00:27:30;17.2
07.03.2018 00:33:30;17.3
07.03.2018 00:35:30;17.4
07.03.2018 00:36:00;17.5
07.03.2018 00:36:30;17.6
07.03.2018 00:38:00;17.5
07.03.2018 00:38:30;17.6
07.03.2018 00:40:00;17.5
07.03.2018 00:40:30;17.6
07.03.2018 00:42:00;17.5
07.03.2018 00:42:30;17.6
07.03.2018 00:44:00;17.5
07.03.2018 00:45:00;17.6
07.03.2018 00:48:30;17.5
07.03.2018 00:50:00;17.6
07.03.2018 00:50:30;17.5
07.03.2018 00:51:00;17.6
07.03.2018 00:51:30;17.5
07.03.2018 00:52:00;17.6
07.03.2018 00:54:30;17.7
07.03.2018 00:55:00;17.6
07.03.2018 00:56:00;17.7
07.03.2018 00:56:30;17.6
07.03.2018 01:00:30;17.7
07.03.2018 01:01:30;17.6
07.03.2018 01:03:00;17.7
07.03.2018 01:03:30;17.6
07.03.2018 01:04:00;17.7
07.03.2018 01:05:30;17.8
07.03.2018 01:06:00;17.6
07.03.2018 01:06:30;17.7
07.03.2018 01:08:00;17.6
07.03.2018 01:08:30;17.7
07.03.2018 01:09:00;17.4
07.03.2018 01:15:30;17.5
07.03.2018 01:16:30;17.4
07.03.2018 01:17:00;17.5
07.03.2018 01:18:30;17.4
07.03.2018 01:19:00;17.5
07.03.2018 01:22:30;17.4
07.03.2018 01:23:00;17.5
07.03.2018 01:23:30;17.4
07.03.2018 01:24:00;17.5
07.03.2018 01:25:00;17.4
07.03.2018 01:25:30;17.5
07.03.2018 01:26:00;17.4
07.03.2018 01:33:00;17.3
07.03.2018 01:33:30;17.4
07.03.2018 01:35:30;17.3
07.03.2018 01:36:00;17.4
07.03.2018 01:37:30;17.3
07.03.2018 01:38:00;17.4
07.03.2018 01:38:30;17.3
07.03.2018 01:39:00;17.4
07.03.2018 01:40:00;17.3
07.03.2018 01:41:30;17.4
07.03.2018 01:42:30;17.3
07.03.2018 01:43:30;17.4
07.03.2018 01:44:30;17.3
07.03.2018 01:45:00;17.4
07.03.2018 01:45:30;17.3
07.03.2018 01:46:00;17.5
07.03.2018 01:46:30;17.7
07.03.2018 01:47:00;17.6
07.03.2018 01:47:30;17.7
07.03.2018 01:48:00;17.6
07.03.2018 01:48:30;17.7
07.03.2018 01:49:00;17.6
07.03.2018 01:51:00;17.5
07.03.2018 01:52:00;17.6
07.03.2018 01:55:30;17.5
07.03.2018 01:56:00;17.6
07.03.2018 01:59:30;17.5
07.03.2018 02:00:00;17.6
07.03.2018 02:01:30;17.7
07.03.2018 02:02:00;17.6
07.03.2018 02:02:30;17.7
07.03.2018 02:03:00;17.6
07.03.2018 02:04:30;17.7
07.03.2018 02:05:00;17.6
07.03.2018 02:06:30;17.7
07.03.2018 02:07:00;17.6
07.03.2018 02:08:00;17.7
07.03.2018 02:08:30;17.6
07.03.2018 02:09:00;17.7
07.03.2018 02:09:30;17.6
07.03.2018 02:10:00;17.7
07.03.2018 02:10:30;17.6
07.03.2018 02:12:00;17.7
07.03.2018 02:12:30;17.6
07.03.2018 02:13:00;17.7
07.03.2018 02:13:30;17.6
07.03.2018 02:14:00;17.7
07.03.2018 02:15:30;17.6
07.03.2018 02:16:00;17.7
07.03.2018 02:16:30;17.5
07.03.2018 02:17:30;17.4
07.03.2018 02:20:00;17.5
07.03.2018 02:21:00;17.4
07.03.2018 02:21:30;17.5
07.03.2018 02:22:00;17.4
07.03.2018 02:23:30;17.5
07.03.2018 02:24:00;17.4
07.03.2018 02:24:30;17.5
07.03.2018 02:28:30;17.6
07.03.2018 02:29:00;17.5
07.03.2018 02:31:00;17.4
07.03.2018 02:31:30;17.5
07.03.2018 02:32:30;17.4
07.03.2018 02:33:00;17.5
07.03.2018 02:36:30;17.4
07.03.2018 02:37:00;17.5
07.03.2018 02:38:00;17.6
07.03.2018 02:38:30;17.4
07.03.2018 02:39:30;17.5
07.03.2018 02:40:00;17.4
07.03.2018 02:40:30;17.5
07.03.2018 02:41:00;17.4
07.03.2018 02:41:30;17.5
07.03.2018 02:42:00;17.4
07.03.2018 02:44:00;17.5
07.03.2018 02:44:30;17.4
07.03.2018 02:47:00;17.5
07.03.2018 02:47:30;17.4
07.03.2018 02:52:30;17.5
07.03.2018 02:53:00;17.4
07.03.2018 02:54:00;17.5
07.03.2018 02:54:30;17.4
07.03.2018 03:03:00;17.5
07.03.2018 03:03:30;17.4
07.03.2018 03:05:30;17.5
07.03.2018 03:06:00;17.4
07.03.2018 03:09:00;17.5
07.03.2018 03:10:00;17.4
07.03.2018 03:10:30;17.6
07.03.2018 03:11:00;17.4
07.03.2018 03:11:30;17.5
07.03.2018 03:16:30;17.6
07.03.2018 03:17:00;17.5
07.03.2018 03:19:00;17.6
07.03.2018 03:19:30;17.5
07.03.2018 03:20:30;17.6
07.03.2018 03:21:00;17.5
07.03.2018 03:21:30;17.4
07.03.2018 03:22:00;17.5
07.03.2018 03:22:30;17.6
07.03.2018 03:23:00;17.4
07.03.2018 03:23:30;17.5
07.03.2018 03:24:00;17.6
07.03.2018 03:24:30;17.5
07.03.2018 03:28:00;17.6
07.03.2018 03:29:00;17.5
07.03.2018 03:29:30;17.6
07.03.2018 03:30:00;17.5
07.03.2018 03:33:00;17.7
07.03.2018 03:33:30;17.5
07.03.2018 03:34:00;17.6
07.03.2018 03:36:00;17.5
07.03.2018 03:36:30;17.6
07.03.2018 03:37:00;17.5
07.03.2018 03:37:30;17.6
07.03.2018 03:39:00;17.5
07.03.2018 03:43:00;17.6
07.03.2018 03:44:00;17.5
07.03.2018 03:47:00;17.6
07.03.2018 03:47:30;17.5
07.03.2018 03:48:30;17.4
07.03.2018 03:49:00;17.5
07.03.2018 03:50:00;17.6
07.03.2018 03:50:30;17.5
07.03.2018 03:51:30;17.4
07.03.2018 03:52:00;17.5
07.03.2018 03:55:00;17.4
07.03.2018 03:56:00;17.5
07.03.2018 03:56:30;17.4
07.03.2018 03:57:30;17.5
07.03.2018 03:58:00;17.4
07.03.2018 04:01:00;17.5
07.03.2018 04:02:00;17.4
07.03.2018 04:02:30;17.5
07.03.2018 04:03:00;17.4
07.03.2018 04:04:00;17.5
07.03.2018 04:04:30;17.6
07.03.2018 04:05:00;17.5
07.03.2018 04:07:00;17.6
07.03.2018 04:07:30;17.5
07.03.2018 04:08:00;17.6
07.03.2018 04:09:30;17.5
07.03.2018 04:10:00;17.6
07.03.2018 04:10:30;17.5
07.03.2018 04:11:30;17.6
07.03.2018 04:12:00;17.5
07.03.2018 04:12:30;17.6
07.03.2018 04:13:00;17.5
07.03.2018 04:14:00;17.6
07.03.2018 04:14:30;17.5
07.03.2018 04:15:30;17.6
07.03.2018 04:16:00;17.5
07.03.2018 04:16:30;17.6
07.03.2018 04:17:30;17.7
07.03.2018 04:18:00;17.5
07.03.2018 04:19:30;17.6
07.03.2018 04:21:30;17.7
07.03.2018 04:22:00;17.6
07.03.2018 04:24:00;17.7
07.03.2018 04:24:30;17.6
07.03.2018 04:25:00;17.5
07.03.2018 04:25:30;17.6
07.03.2018 04:26:30;17.5
07.03.2018 04:27:00;17.6
07.03.2018 04:27:30;17.5
07.03.2018 04:28:30;17.6
07.03.2018 04:29:30;17.5
07.03.2018 04:30:00;17.6
07.03.2018 04:31:00;17.5
07.03.2018 04:32:00;17.6
07.03.2018 04:32:30;17.5
07.03.2018 04:33:30;17.6
07.03.2018 04:34:00;17.5
07.03.2018 04:34:30;17.6
07.03.2018 04:35:00;17.5
07.03.2018 04:35:30;17.6
07.03.2018 04:38:00;17.5
07.03.2018 04:38:30;17.6
07.03.2018 04:39:30;17.5
07.03.2018 04:40:00;17.6
07.03.2018 04:40:30;17.5
07.03.2018 04:41:00;17.6
07.03.2018 04:42:00;17.5
07.03.2018 04:43:00;17.7
07.03.2018 04:43:30;17.5
07.03.2018 04:45:00;17.6
07.03.2018 04:45:30;17.5
07.03.2018 04:49:00;17.6
07.03.2018 04:49:30;17.5
07.03.2018 04:50:30;17.6
07.03.2018 04:51:00;17.5
07.03.2018 04:51:30;17.6
07.03.2018 04:52:00;17.5
07.03.2018 04:53:00;17.6
07.03.2018 04:53:30;17.5
07.03.2018 04:54:00;17.6
07.03.2018 04:55:30;17.5
07.03.2018 04:57:00;17.6
07.03.2018 04:57:30;17.5
07.03.2018 04:58:30;17.6
07.03.2018 04:59:30;17.5
07.03.2018 05:00:30;17.6
07.03.2018 05:01:00;17.5
07.03.2018 05:03:00;17.6
07.03.2018 05:04:30;17.5
07.03.2018 05:06:00;17.6
07.03.2018 05:06:30;17.5
07.03.2018 05:07:00;17.6
07.03.2018 05:07:30;17.5
07.03.2018 05:08:30;17.6
07.03.2018 05:09:00;17.5
07.03.2018 05:12:00;17.4
07.03.2018 05:13:00;17.5
07.03.2018 05:14:30;17.6
07.03.2018 05:15:00;17.5
07.03.2018 05:19:00;17.6
07.03.2018 05:19:30;17.5
07.03.2018 05:20:00;17.6
07.03.2018 05:20:30;17.5
07.03.2018 05:22:00;17.6
07.03.2018 05:22:30;17.5
07.03.2018 05:23:30;17.6
07.03.2018 05:24:00;17.5
07.03.2018 05:28:00;17.6
07.03.2018 05:28:30;17.5
07.03.2018 05:29:00;17.6
07.03.2018 05:29:30;17.5
07.03.2018 05:30:00;17.4
07.03.2018 05:30:30;17.5
07.03.2018 05:31:00;17.6
07.03.2018 05:31:30;17.5
07.03.2018 05:32:30;17.6
07.03.2018 05:33:00;17.5
07.03.2018 05:33:30;17.4
07.03.2018 05:34:00;17.5
07.03.2018 05:34:30;17.4
07.03.2018 05:35:00;17.6
07.03.2018 05:35:30;17.5
07.03.2018 05:36:30;17.4
07.03.2018 05:37:00;17.5
07.03.2018 05:39:00;17.4
07.03.2018 05:39:30;17.5
07.03.2018 05:41:30;17.4
07.03.2018 05:42:30;17.5
07.03.2018 05:43:00;17.4
07.03.2018 05:44:00;17.5
07.03.2018 05:45:30;17.4
07.03.2018 05:46:00;17.5
07.03.2018 05:46:30;17.6
07.03.2018 05:47:00;17.4
07.03.2018 05:48:00;17.5
07.03.2018 05:49:00;17.4
07.03.2018 05:49:30;17.5
07.03.2018 05:50:00;17.4
07.03.2018 05:51:00;17.5
07.03.2018 05:52:30;17.4
07.03.2018 05:53:00;17.5
07.03.2018 05:53:30;17.4
07.03.2018 05:54:00;17.5
07.03.2018 05:56:00;17.4
07.03.2018 05:56:30;17.5
07.03.2018 05:59:00;17.4
07.03.2018 06:00:00;17.5
07.03.2018 06:00:30;17.4
07.03.2018 06:01:30;17.5
07.03.2018 06:02:00;17.4
07.03.2018 06:02:30;17.5
07.03.2018 06:03:30;17.4
07.03.2018 06:04:00;17.5
07.03.2018 06:05:00;17.4
07.03.2018 06:06:00;17.5
07.03.2018 06:07:00;17.4
07.03.2018 06:07:30;17.5
07.03.2018 06:09:30;17.4
07.03.2018 06:10:00;17.5
07.03.2018 06:10:30;17.4
07.03.2018 06:11:00;17.5
07.03.2018 06:12:00;17.3
07.03.2018 06:12:30;17.5
07.03.2018 06:14:30;17.4
07.03.2018 06:15:30;17.5
07.03.2018 06:16:30;17.4
07.03.2018 06:17:00;17.5
07.03.2018 06:20:30;17.4
07.03.2018 06:21:00;17.5
07.03.2018 06:21:30;17.4
07.03.2018 06:22:00;17.5
07.03.2018 06:23:00;17.6
07.03.2018 06:23:30;17.5
07.03.2018 06:24:30;17.4
07.03.2018 06:25:00;17.5
07.03.2018 06:30:30;17.6
07.03.2018 06:31:00;17.5
07.03.2018 06:31:30;17.6
07.03.2018 06:32:00;17.5
07.03.2018 06:33:00;17.6
07.03.2018 06:33:30;17.5
07.03.2018 06:35:30;17.6
07.03.2018 06:36:30;17.5
07.03.2018 06:37:30;17.6
07.03.2018 06:38:00;17.5
07.03.2018 06:38:30;17.6
07.03.2018 06:41:30;17.5
07.03.2018 06:43:00;17.6
07.03.2018 06:43:30;17.5
07.03.2018 06:44:30;17.6
07.03.2018 06:45:30;17.5
07.03.2018 06:46:00;17.6
07.03.2018 06:46:30;17.5
07.03.2018 06:48:00;17.6
07.03.2018 06:48:30;17.5
07.03.2018 06:49:00;17.6
07.03.2018 06:49:30;17.5
07.03.2018 06:50:00;17.6
07.03.2018 06:50:30;17.5
07.03.2018 06:51:00;17.6
07.03.2018 06:52:00;17.5
07.03.2018 06:52:30;17.6
07.03.2018 06:53:00;17.5
07.03.2018 06:55:30;17.4
07.03.2018 06:56:00;17.5
07.03.2018 06:56:30;17.6
07.03.2018 06:58:00;17.5
07.03.2018 06:59:00;17.6
07.03.2018 06:59:30;17.5
07.03.2018 07:00:30;17.6
