Datum/Uhrzeit;Temperatur
06.03.2018 13:49:00;13.6
06.03.2018 13:51:30;14.6
06.03.2018 13:52:00;14.2
06.03.2018 13:52:30;13.9
06.03.2018 13:54:30;13.7
06.03.2018 13:58:00;13.8
06.03.2018 13:58:30;14.1
06.03.2018 13:59:00;14.8
06.03.2018 13:59:30;15.3
06.03.2018 14:00:00;15.8
06.03.2018 14:00:30;16.2
06.03.2018 14:01:30;16.7
06.03.2018 14:02:30;16.9
06.03.2018 14:03:30;17.1
06.03.2018 14:04:00;17.2
06.03.2018 14:05:30;17.1
06.03.2018 14:06:00;17.2
06.03.2018 14:06:30;17.5
06.03.2018 14:08:30;17.4
06.03.2018 14:09:00;17.5
06.03.2018 14:09:30;17.6
06.03.2018 14:11:00;17.7
06.03.2018 14:14:00;17.8
06.03.2018 14:14:30;18
06.03.2018 14:15:30;18.1
06.03.2018 14:16:30;18
06.03.2018 14:17:00;18.1
06.03.2018 14:17:30;18.2
06.03.2018 14:18:30;17.9
06.03.2018 14:19:30;17.8
06.03.2018 14:20:00;17.9
06.03.2018 14:21:30;17.8
06.03.2018 14:22:00;17.6
06.03.2018 14:22:30;17.7
06.03.2018 14:23:30;17.6
06.03.2018 14:24:00;17.7
06.03.2018 14:25:30;17.5
06.03.2018 14:26:00;17.4
06.03.2018 14:26:30;17.3
06.03.2018 14:27:30;17.4
06.03.2018 14:31:00;17.5
06.03.2018 14:31:30;17.4
06.03.2018 14:33:00;17.3
06.03.2018 14:34:00;17.4
06.03.2018 14:35:00;17.3
06.03.2018 14:40:00;17.2
06.03.2018 14:43:30;17.3
06.03.2018 14:46:00;17.5
06.03.2018 14:46:30;17.6
06.03.2018 14:47:00;17.7
06.03.2018 14:48:00;17.6
06.03.2018 14:53:30;17.7
06.03.2018 14:54:00;17.6
06.03.2018 14:54:30;17.7
06.03.2018 14:59:30;17.8
06.03.2018 15:06:00;17.6
06.03.2018 15:06:30;17.5
06.03.2018 15:07:00;17.3
06.03.2018 15:07:30;17.4
06.03.2018 15:08:30;17.3
06.03.2018 15:09:00;17.4
06.03.2018 15:12:00;17.3
06.03.2018 15:12:30;17.4
06.03.2018 15:13:00;17.5
06.03.2018 15:13:30;17.4
06.03.2018 15:14:00;17.5
06.03.2018 15:14:30;17.4
06.03.2018 15:15:00;17.5
06.03.2018 15:17:00;17.4
06.03.2018 15:17:30;17.5
06.03.2018 15:21:30;17.6
06.03.2018 15:22:00;17.5
06.03.2018 15:23:00;17.6
06.03.2018 15:23:30;17.5
06.03.2018 15:24:00;17.6
06.03.2018 15:24:30;17.5
06.03.2018 15:28:00;17.4
06.03.2018 15:28:30;17.5
06.03.2018 15:30:30;17.4
06.03.2018 15:31:30;17.5
06.03.2018 15:33:00;17.4
06.03.2018 15:33:30;17.5
06.03.2018 15:34:00;17.4
06.03.2018 15:34:30;17.5
06.03.2018 15:35:00;17.4
06.03.2018 15:37:30;17.5
06.03.2018 15:38:00;17.4
06.03.2018 15:38:30;17.5
06.03.2018 15:39:30;17.4
06.03.2018 15:41:30;17.5
06.03.2018 15:42:00;17.4
06.03.2018 15:44:00;17.5
06.03.2018 15:45:00;17.4
06.03.2018 15:49:30;17.5
06.03.2018 15:50:00;17.4
06.03.2018 15:52:30;17.5
06.03.2018 15:54:00;17.4
06.03.2018 15:55:30;17.5
06.03.2018 15:56:00;17.4
06.03.2018 15:56:30;17.5
06.03.2018 15:57:00;17.4
06.03.2018 15:58:00;17.5
06.03.2018 16:04:00;17.6
06.03.2018 16:04:30;17.5
06.03.2018 16:05:30;17.6
06.03.2018 16:06:00;17.5
06.03.2018 16:06:30;17.6
06.03.2018 16:08:00;17.5
06.03.2018 16:08:30;17.6
06.03.2018 16:10:30;17.7
06.03.2018 16:11:00;17.6
06.03.2018 16:11:30;17.7
06.03.2018 16:12:00;17.6
06.03.2018 16:14:00;17.7
06.03.2018 16:14:30;17.6
06.03.2018 16:15:30;17.7
06.03.2018 16:16:00;17.6
06.03.2018 16:18:00;17.7
06.03.2018 16:18:30;17.6
06.03.2018 16:19:00;17.7
06.03.2018 16:19:30;17.6
06.03.2018 16:20:00;17.5
06.03.2018 16:20:30;17.6
06.03.2018 16:21:30;17.7
06.03.2018 16:23:00;17.6
06.03.2018 16:23:30;17.7
06.03.2018 16:24:00;17.6
06.03.2018 16:24:30;17.7
06.03.2018 16:31:30;17.5
06.03.2018 16:32:00;17.4
06.03.2018 16:32:30;17.3
06.03.2018 16:37:30;17.4
06.03.2018 16:38:30;17.3
06.03.2018 16:39:00;17.4
06.03.2018 16:39:30;17.3
06.03.2018 16:40:30;17.4
06.03.2018 16:42:00;17.3
06.03.2018 16:42:30;17.4
06.03.2018 16:44:00;17.3
06.03.2018 16:46:30;17.4
06.03.2018 16:47:00;17.2
06.03.2018 16:48:30;17.3
06.03.2018 16:50:30;17.2
06.03.2018 16:51:00;17.3
06.03.2018 16:51:30;17.2
06.03.2018 16:52:00;17.6
06.03.2018 16:52:30;17.7
